strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,23231,12,0,1,13
GREEDY,21827,9,2,1,12
GREEDY,17991,10,1,0,11
GREEDY,30925,9,0,0,9
STATION_GUY,72972,4,0,1,5
STATION_GUY,77100,5,1,0,6
GREEDY,13060,5,1,2,8
DEFAULT,72484,6,1,0,7
GREEDY,22880,7,1,0,8
UTILITY_GUY,37815,4,1,0,5
GREEDY,20164,9,1,0,10
STATION_GUY,83352,8,0,0,8
UTILITY_GUY,20092,3,2,4,9
STATION_GUY,11726,4,2,4,10
STINGY,71761,3,0,0,3
GREEDY,17163,8,0,1,9
STATION_GUY,46660,5,0,3,8
GREEDY,20640,8,1,0,9
GREEDY,14324,5,0,2,7
GREEDY,39796,11,0,0,11
GREEDY,14404,8,1,1,10
UTILITY_GUY,21495,4,1,2,7
GREEDY,18397,12,0,0,12
GREEDY,21084,7,0,1,8
GREEDY,17511,8,0,1,9
GREEDY,12872,9,0,0,9
GREEDY,16250,8,1,1,10
GREEDY,15286,11,0,1,12
DEFAULT,41059,6,0,1,7
GREEDY,27066,9,0,0,9
STATION_GUY,23679,5,0,3,8
GREEDY,18723,4,1,0,5
GREEDY,16859,8,0,2,10
GREEDY,21258,10,0,1,11
UTILITY_GUY,49300,7,0,0,7
UTILITY_GUY,35761,5,0,1,6
GREEDY,33957,6,0,1,7
DEFAULT,30403,8,1,0,9
GREEDY,19147,6,0,1,7
STATION_GUY,28575,9,0,1,10
GREEDY,22734,11,0,0,11
GREEDY,13331,6,0,1,7
GREEDY,30315,5,0,2,7
GREEDY,14262,7,1,1,9
UTILITY_GUY,32673,4,1,1,6
DEFAULT,44626,6,0,1,7
GREEDY,59562,8,1,1,10
GREEDY,78580,14,2,0,16
GREEDY,22369,7,0,3,10
GREEDY,12757,8,0,0,8
STATION_GUY,47089,7,0,1,8
UTILITY_GUY,43893,3,0,0,3
DEFAULT,75782,10,0,1,11
DEFAULT,98140,7,0,1,8
STATION_GUY,52734,4,0,3,7
DEFAULT,39585,8,1,0,9
UTILITY_GUY,45976,5,0,0,5
UTILITY_GUY,25453,5,0,1,6
DEFAULT,24256,5,0,1,6
UTILITY_GUY,30797,4,1,0,5
DEFAULT,47191,8,0,0,8
GREEDY,24651,8,1,1,10
GREEDY,20361,9,0,1,10
STATION_GUY,55726,5,1,2,8
STATION_GUY,71189,5,1,0,6
STATION_GUY,25395,9,1,1,11
GREEDY,19352,11,1,0,12
UTILITY_GUY,54865,5,0,0,5
UTILITY_GUY,36177,3,1,1,5
STATION_GUY,37662,10,0,1,11
UTILITY_GUY,38762,4,0,1,5
DEFAULT,39478,4,1,2,7
STATION_GUY,53205,8,0,0,8
GREEDY,32494,7,0,2,9
GREEDY,24278,8,0,0,8
DEFAULT,19706,8,0,0,8
UTILITY_GUY,27986,7,1,0,8
UTILITY_GUY,54334,5,1,0,6
STINGY,89736,4,1,0,5
GREEDY,33152,6,2,2,10
GREEDY,11143,5,0,1,6
DEFAULT,40729,5,0,2,7
DEFAULT,76171,8,0,0,8
DEFAULT,61321,6,1,3,10
STATION_GUY,55056,6,0,0,6
GREEDY,15428,6,1,0,7
UTILITY_GUY,54884,7,0,0,7
GREEDY,21843,9,1,0,10
GREEDY,23683,6,1,0,7
GREEDY,27023,8,1,0,9
GREEDY,93209,8,0,2,10
GREEDY,16637,9,0,1,10
GREEDY,16495,7,0,0,7
GREEDY,26581,9,1,2,12
DEFAULT,36594,5,1,0,6
STATION_GUY,42725,4,0,4,8
DEFAULT,60478,5,0,0,5
GREEDY,27537,9,0,1,10
GREEDY,16436,11,0,0,11
GREEDY,24828,9,0,1,10
UTILITY_GUY,38827,5,1,0,6
GREEDY,14886,9,2,1,12
STINGY,65828,4,0,0,4
DEFAULT,47586,8,1,0,9
DEFAULT,35963,8,1,0,9
GREEDY,20901,6,0,1,7
GREEDY,31947,8,2,0,10
DEFAULT,35861,8,0,0,8
STATION_GUY,42142,7,0,2,9
DEFAULT,38828,6,0,0,6
GREEDY,25346,11,0,1,12
STATION_GUY,55942,5,2,2,9
GREEDY,11916,8,1,0,9
DEFAULT,32176,7,1,0,8
UTILITY_GUY,30784,3,0,1,4
GREEDY,28194,11,1,1,13
STATION_GUY,17187,2,0,4,6
UTILITY_GUY,25026,3,0,0,3
GREEDY,48777,9,1,2,12
DEFAULT,22067,7,0,1,8
GREEDY,24276,8,0,1,9
GREEDY,15231,8,1,0,9
DEFAULT,32657,7,1,2,10
GREEDY,15831,9,0,4,13
UTILITY_GUY,30411,7,0,0,7
GREEDY,14704,13,1,0,14
GREEDY,61589,5,0,2,7
GREEDY,62029,10,0,2,12
GREEDY,35385,9,0,1,10
UTILITY_GUY,29707,10,0,0,10
STATION_GUY,32413,6,0,1,7
DEFAULT,64584,8,0,1,9
GREEDY,19361,8,0,0,8
GREEDY,26284,7,2,1,10
DEFAULT,59721,7,0,1,8
DEFAULT,25503,6,1,2,9
DEFAULT,6170,5,0,4,9
GREEDY,22921,10,0,1,11
STATION_GUY,20295,6,0,1,7
UTILITY_GUY,33206,5,0,2,7
DEFAULT,25464,7,0,1,8
GREEDY,19928,8,1,2,11
DEFAULT,45776,7,0,0,7
GREEDY,25256,10,0,2,12
DEFAULT,44111,3,0,4,7
GREEDY,56459,6,1,2,9
GREEDY,19779,10,2,0,12
GREEDY,18228,7,0,1,8
GREEDY,16667,8,0,1,9
STATION_GUY,33120,7,0,0,7
GREEDY,18862,7,1,2,10
STATION_GUY,82567,5,0,2,7
GREEDY,16031,8,0,2,10
GREEDY,23904,6,0,2,8
GREEDY,17508,9,1,1,11
GREEDY,14102,6,0,0,6
STATION_GUY,15133,7,1,1,9
STATION_GUY,57631,4,0,1,5
GREEDY,26986,10,1,1,12
DEFAULT,60579,6,0,0,6
GREEDY,16647,12,1,1,14
