strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,280,6,1,2,9
GREEDY,6327,13,1,1,15
GREEDY,5782,11,1,2,14
GREEDY,1458,11,1,4,16
GREEDY,706,6,1,2,9
DEFAULT,542,5,1,2,8
GREEDY,9918,11,1,2,14
GREEDY,3968,13,2,2,17
GREEDY,195,7,1,2,10
DEFAULT,24255,11,1,3,15
DEFAULT,902,7,1,1,9
DEFAULT,328,7,1,1,9
DEFAULT,141,6,1,1,8
GREEDY,6001,14,0,1,15
GREEDY,1801,8,1,4,13
GREEDY,938,4,2,0,6
GREEDY,5679,13,1,1,15
DEFAULT,15819,11,1,3,15
GREEDY,218,7,1,2,10
DEFAULT,820,6,0,1,7
GREEDY,310,12,1,2,15
GREEDY,3504,14,1,3,18
DEFAULT,35318,14,1,1,16
GREEDY,1354,8,1,4,13
DEFAULT,603,5,0,1,6
DEFAULT,38080,12,1,3,16
DEFAULT,331,3,1,0,4
DEFAULT,166,6,0,3,9
DEFAULT,714,11,0,3,14
DEFAULT,708,5,0,2,7
DEFAULT,1295,5,1,2,8
DEFAULT,48804,9,0,1,10
DEFAULT,847,8,0,0,8
DEFAULT,517,9,1,1,11
GREEDY,2342,16,1,3,20
DEFAULT,749,7,0,0,7
GREEDY,4602,12,1,3,16
GREEDY,4384,13,2,3,18
DEFAULT,1097,7,1,4,12
DEFAULT,1852,6,1,0,7
DEFAULT,758,5,0,2,7
GREEDY,2017,8,1,2,11
GREEDY,8313,10,1,3,14
GREEDY,4770,14,2,0,16
DEFAULT,513,5,1,2,8
DEFAULT,792,7,0,1,8
GREEDY,2558,11,2,4,17
DEFAULT,429,7,1,1,9
DEFAULT,585,5,0,0,5
GREEDY,5600,14,2,3,19
DEFAULT,651,7,1,1,9
GREEDY,1940,13,0,4,17
GREEDY,515,9,0,3,12
GREEDY,1404,14,1,3,18
DEFAULT,579,6,0,2,8
GREEDY,6092,12,1,2,15
GREEDY,1874,9,1,3,13
DEFAULT,1182,5,1,1,7
GREEDY,2191,12,1,3,16
DEFAULT,181,10,0,0,10
GREEDY,3983,11,2,4,17
DEFAULT,845,4,1,1,6
GREEDY,3293,11,1,3,15
GREEDY,2738,12,1,2,15
DEFAULT,467,7,2,3,12
GREEDY,3856,13,2,2,17
DEFAULT,1202,5,2,2,9
GREEDY,6686,11,1,3,15
GREEDY,1031,11,1,4,16
DEFAULT,16740,11,2,2,15
DEFAULT,1052,3,0,1,4
GREEDY,4620,11,1,2,14
DEFAULT,739,8,2,2,12
GREEDY,6182,16,1,2,19
DEFAULT,933,8,1,3,12
GREEDY,1172,10,1,4,15
DEFAULT,17585,11,1,1,13
DEFAULT,455,7,0,3,10
GREEDY,1783,12,2,3,17
GREEDY,4360,11,2,2,15
GREEDY,349,8,1,1,10
GREEDY,308,9,1,4,14
GREEDY,6448,10,1,1,12
DEFAULT,1851,7,1,0,8
GREEDY,3237,13,1,4,18
DEFAULT,729,6,1,0,7
DEFAULT,740,5,1,0,6
GREEDY,358,11,1,0,12
GREEDY,4004,14,1,3,18
DEFAULT,1089,4,0,2,6
DEFAULT,846,8,0,2,10
GREEDY,1621,7,1,3,11
GREEDY,7418,12,1,2,15
DEFAULT,504,7,1,1,9
DEFAULT,1127,2,0,1,3
DEFAULT,1158,5,1,1,7
GREEDY,1395,10,0,4,14
GREEDY,2286,13,0,3,16
DEFAULT,457,6,1,1,8
DEFAULT,975,8,1,1,10
DEFAULT,576,9,0,3,12
DEFAULT,15601,13,0,1,14
GREEDY,23,6,0,1,7
DEFAULT,509,8,1,1,10
DEFAULT,502,7,0,1,8
DEFAULT,1414,4,0,0,4
DEFAULT,8038,10,1,2,13
GREEDY,2619,11,0,1,12
GREEDY,7203,13,1,3,17
GREEDY,2575,15,1,2,18
DEFAULT,766,9,0,3,12
DEFAULT,214,6,1,1,8
DEFAULT,172,6,0,3,9
GREEDY,5784,14,0,2,16
GREEDY,86,10,1,0,11
GREEDY,5102,14,1,3,18
GREEDY,688,6,1,1,8
GREEDY,2784,15,1,3,19
GREEDY,267,8,0,2,10
GREEDY,12879,13,1,3,17
GREEDY,1070,5,0,4,9
GREEDY,1131,12,0,4,16
GREEDY,2769,13,0,3,16
GREEDY,5026,11,0,2,13
DEFAULT,1305,1,0,0,1
GREEDY,372,10,1,1,12
DEFAULT,519,6,0,4,10
DEFAULT,614,6,2,1,9
DEFAULT,39358,11,0,2,13
GREEDY,2776,12,2,2,16
GREEDY,496,10,0,2,12
DEFAULT,19260,8,2,2,12
DEFAULT,960,6,0,1,7
DEFAULT,900,5,0,2,7
GREEDY,3250,11,1,3,15
GREEDY,943,7,1,4,12
GREEDY,1593,12,2,3,17
DEFAULT,600,5,2,1,8
DEFAULT,1216,4,1,0,5
DEFAULT,466,7,0,2,9
DEFAULT,168,6,1,2,9
GREEDY,57,5,1,3,9
DEFAULT,61226,11,0,2,13
GREEDY,1631,12,0,1,13
DEFAULT,870,7,0,1,8
GREEDY,1639,11,2,3,16
DEFAULT,22280,11,1,2,14
GREEDY,2170,12,1,3,16
DEFAULT,1771,10,0,2,12
GREEDY,551,7,0,3,10
DEFAULT,372,8,0,2,10
DEFAULT,1210,3,1,2,6
DEFAULT,1679,1,1,0,2
DEFAULT,1036,7,2,3,12
DEFAULT,1006,7,0,2,9
DEFAULT,8284,12,1,2,15
DEFAULT,437,4,1,2,7
DEFAULT,1124,5,1,2,8
GREEDY,7950,15,0,2,17
GREEDY,9714,12,0,3,15
GREEDY,3015,11,2,3,16
DEFAULT,433,5,1,0,6
DEFAULT,1252,4,0,0,4
DEFAULT,110,9,1,1,11
DEFAULT,1282,7,1,2,10
GREEDY,388,10,1,0,11
GREEDY,2716,15,1,3,19
GREEDY,1639,11,1,0,12
GREEDY,11916,11,1,2,14
GREEDY,3085,9,2,3,14
DEFAULT,270,6,1,1,8
DEFAULT,1010,2,0,1,3
GREEDY,204,7,1,0,8
GREEDY,6080,15,1,1,17
DEFAULT,461,7,0,3,10
DEFAULT,299,10,0,1,11
DEFAULT,592,8,0,1,9
DEFAULT,830,4,1,1,6
GREEDY,2445,10,2,2,14
GREEDY,376,5,2,1,8
DEFAULT,670,10,1,1,12
DEFAULT,946,5,1,0,6
GREEDY,165,13,0,1,14
GREEDY,2973,10,2,3,15
GREEDY,3978,10,1,3,14
GREEDY,76,9,2,1,12
GREEDY,571,10,2,1,13
DEFAULT,248,7,2,0,9
DEFAULT,995,4,1,1,6
GREEDY,5902,14,2,2,18
GREEDY,4805,10,1,2,13
DEFAULT,675,4,1,0,5
DEFAULT,996,6,0,1,7
DEFAULT,559,7,0,3,10
DEFAULT,17758,10,1,2,13
DEFAULT,24536,11,0,2,13
GREEDY,15406,14,1,2,17
DEFAULT,485,8,2,2,12
DEFAULT,580,9,2,2,13
GREEDY,701,9,0,0,9
DEFAULT,885,4,0,2,6
GREEDY,32888,12,2,3,17
DEFAULT,1117,7,2,0,9
GREEDY,924,11,2,4,17
GREEDY,11778,14,0,2,16
DEFAULT,1420,6,1,2,9
GREEDY,3803,13,1,3,17
GREEDY,658,5,1,4,10
GREEDY,298,13,1,4,18
GREEDY,2275,10,1,2,13
DEFAULT,24625,11,1,3,15
GREEDY,5566,14,1,2,17
GREEDY,901,11,2,2,15
GREEDY,17407,13,1,4,18
GREEDY,1953,7,2,4,13
