strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,7845,15,2,3,20
DEFAULT,7362,15,1,4,20
DEFAULT,30094,14,2,1,17
DEFAULT,7118,14,2,4,20
DEFAULT,7145,16,2,3,21
DEFAULT,9278,14,2,3,19
DEFAULT,13166,15,2,3,20
DEFAULT,5876,16,2,1,19
DEFAULT,10479,16,1,3,20
DEFAULT,10077,17,2,4,23
DEFAULT,14501,15,1,3,19
DEFAULT,49153,13,2,2,17
DEFAULT,7138,20,2,2,24
DEFAULT,11241,16,2,3,21
STINGY,456,7,0,0,7
DEFAULT,6963,17,2,4,23
STINGY,1502,3,0,0,3
DEFAULT,4249,16,1,3,20
STINGY,1518,2,0,1,3
DEFAULT,15690,15,2,2,19
STINGY,1526,2,0,0,2
DEFAULT,5487,11,2,4,17
DEFAULT,6384,17,1,4,22
STINGY,25367,10,0,2,12
DEFAULT,6527,16,1,3,20
STINGY,2211,2,0,1,3
DEFAULT,1806,8,1,4,13
DEFAULT,541,7,2,1,10
DEFAULT,9711,17,2,3,22
STINGY,1598,5,0,1,6
DEFAULT,9060,14,1,1,16
DEFAULT,4894,15,2,2,19
DEFAULT,5254,17,0,2,19
DEFAULT,7028,16,2,2,20
DEFAULT,8696,14,0,3,17
DEFAULT,19830,16,1,3,20
DEFAULT,21418,16,1,3,20
STINGY,1049,4,0,1,5
STINGY,1713,3,0,0,3
DEFAULT,8597,16,2,1,19
DEFAULT,63725,13,1,3,17
STINGY,1701,5,0,1,6
DEFAULT,6640,12,2,3,17
DEFAULT,4927,14,2,4,20
STINGY,1168,4,0,0,4
DEFAULT,10075,11,1,4,16
STINGY,71994,8,2,2,12
STINGY,1311,3,0,0,3
DEFAULT,17773,15,2,2,19
DEFAULT,7136,19,2,2,23
DEFAULT,7698,13,1,2,16
DEFAULT,11263,17,1,3,21
DEFAULT,43598,14,2,3,19
DEFAULT,5826,12,2,4,18
DEFAULT,1144,12,1,4,17
DEFAULT,8212,18,1,2,21
DEFAULT,25276,16,2,2,20
DEFAULT,5026,12,2,3,17
DEFAULT,7556,15,1,3,19
STINGY,788,3,0,1,4
DEFAULT,14413,16,2,2,20
DEFAULT,16360,15,2,2,19
DEFAULT,1067,17,0,2,19
STINGY,991,3,1,1,5
DEFAULT,2345,10,0,3,13
DEFAULT,11458,15,1,2,18
DEFAULT,7823,12,1,4,17
DEFAULT,6461,18,2,3,23
DEFAULT,9889,14,1,3,18
DEFAULT,7699,19,2,2,23
DEFAULT,8812,15,1,4,20
DEFAULT,6347,11,1,4,16
DEFAULT,21613,15,2,2,19
STINGY,1913,5,2,2,9
DEFAULT,6446,19,1,3,23
DEFAULT,18410,15,2,2,19
DEFAULT,3584,17,2,3,22
STINGY,1775,1,1,1,3
STINGY,1651,3,0,1,4
DEFAULT,9710,18,2,2,22
DEFAULT,3543,16,2,3,21
STINGY,1081,3,1,0,4
DEFAULT,11026,16,0,3,19
DEFAULT,2973,13,2,4,19
DEFAULT,8846,15,1,4,20
DEFAULT,16961,16,1,2,19
DEFAULT,1738,15,1,4,20
DEFAULT,7042,17,2,3,22
STINGY,1223,1,0,2,3
DEFAULT,9838,16,1,4,21
DEFAULT,21122,9,1,3,13
DEFAULT,9597,16,2,4,22
DEFAULT,11329,13,2,4,19
DEFAULT,13475,16,2,3,21
DEFAULT,8729,16,2,2,20
DEFAULT,60642,14,2,3,19
DEFAULT,10612,17,2,1,20
DEFAULT,3978,13,1,3,17
DEFAULT,4393,16,1,4,21
DEFAULT,14030,16,1,3,20
DEFAULT,6831,16,2,2,20
DEFAULT,7777,16,1,4,21
DEFAULT,21592,15,1,3,19
DEFAULT,2145,13,0,4,17
DEFAULT,18194,13,1,1,15
DEFAULT,17796,16,1,2,19
DEFAULT,9432,15,2,3,20
DEFAULT,13313,13,1,2,16
STINGY,1315,3,1,0,4
DEFAULT,4314,12,2,3,17
DEFAULT,43627,15,0,2,17
STINGY,2150,0,0,0,0
DEFAULT,5609,14,0,3,17
DEFAULT,5515,13,1,3,17
DEFAULT,13250,19,1,2,22
STINGY,2129,3,2,0,5
DEFAULT,4509,16,1,1,18
DEFAULT,6199,17,2,2,21
DEFAULT,17802,12,2,4,18
STINGY,1020,5,0,2,7
DEFAULT,8715,18,2,2,22
STINGY,935,2,1,1,4
DEFAULT,762,9,2,3,14
DEFAULT,5027,13,1,4,18
STINGY,1961,0,0,0,0
DEFAULT,5652,17,2,3,22
DEFAULT,14499,16,2,3,21
DEFAULT,6712,20,1,3,24
DEFAULT,10922,16,1,2,19
DEFAULT,16295,13,2,2,17
DEFAULT,6550,13,2,2,17
STINGY,1768,6,0,0,6
STINGY,1717,7,0,2,9
DEFAULT,7065,14,0,4,18
DEFAULT,16951,15,2,3,20
DEFAULT,18202,12,1,3,16
DEFAULT,10023,16,2,3,21
STINGY,71765,9,0,1,10
DEFAULT,8630,16,2,2,20
DEFAULT,5292,14,2,3,19
DEFAULT,14709,13,1,1,15
