strategy,money,countries,utilities,stations,totalLandsOwned
STINGY,1487,2,0,1,3
STINGY,1373,5,1,1,7
GREEDY,1162,12,1,1,14
GREEDY,6097,16,1,3,20
GREEDY,1140,13,1,1,15
GREEDY,6550,15,2,4,21
GREEDY,3768,19,2,4,25
GREEDY,2292,16,2,4,22
GREEDY,899,12,2,3,17
GREEDY,2336,20,1,3,24
GREEDY,6928,18,2,3,23
GREEDY,7229,16,2,2,20
GREEDY,3779,16,1,2,19
STINGY,1188,3,1,2,6
GREEDY,3808,14,1,4,19
GREEDY,6721,17,2,3,22
STINGY,1379,3,0,1,4
GREEDY,9060,14,2,3,19
GREEDY,4510,18,1,4,23
GREEDY,3530,17,2,3,22
STINGY,1280,3,1,0,4
STINGY,1253,4,0,2,6
GREEDY,4972,16,2,3,21
GREEDY,1440,15,2,3,20
GREEDY,5121,15,2,3,20
STINGY,949,6,0,2,8
GREEDY,3167,14,2,4,20
GREEDY,5377,16,1,2,19
GREEDY,3233,17,2,3,22
GREEDY,3446,15,2,4,21
GREEDY,3419,17,2,2,21
STINGY,995,4,0,1,5
STINGY,1238,2,0,1,3
GREEDY,6498,12,1,4,17
STINGY,647,4,0,0,4
GREEDY,1322,12,2,4,18
GREEDY,7679,16,2,2,20
GREEDY,4167,16,2,2,20
STINGY,809,6,0,0,6
GREEDY,1587,14,2,2,18
GREEDY,1484,12,2,4,18
GREEDY,2831,13,0,1,14
GREEDY,2666,17,1,3,21
STINGY,1245,2,0,0,2
STINGY,1596,1,1,0,2
GREEDY,8165,17,2,3,22
GREEDY,5137,15,2,4,21
GREEDY,3219,18,2,4,24
GREEDY,1742,16,2,3,21
GREEDY,4414,16,2,3,21
GREEDY,4518,19,1,3,23
STINGY,1998,1,0,0,1
GREEDY,3230,19,2,2,23
STINGY,1424,2,0,0,2
STINGY,2131,2,0,1,3
GREEDY,3787,18,2,3,23
GREEDY,3219,16,2,2,20
GREEDY,2074,15,2,4,21
GREEDY,3311,14,1,4,19
STINGY,546,6,0,0,6
GREEDY,5138,18,2,2,22
STINGY,1130,3,1,0,4
GREEDY,3867,15,2,4,21
GREEDY,2069,14,2,3,19
GREEDY,5993,14,2,2,18
STINGY,1198,2,0,0,2
GREEDY,1020,12,1,3,16
GREEDY,2440,15,2,3,20
GREEDY,7130,15,2,3,20
GREEDY,3218,13,1,2,16
STINGY,1189,1,0,1,2
STINGY,1240,2,0,1,3
STINGY,1581,4,0,0,4
GREEDY,3138,14,2,4,20
GREEDY,1876,16,1,4,21
STINGY,1604,2,0,2,4
GREEDY,3659,16,2,2,20
GREEDY,3952,15,1,2,18
GREEDY,10378,15,1,3,19
STINGY,1319,3,0,2,5
GREEDY,14045,14,2,1,17
GREEDY,4518,16,2,2,20
GREEDY,2195,17,2,3,22
STINGY,1574,5,0,1,6
STINGY,1272,1,0,0,1
GREEDY,5632,16,2,3,21
GREEDY,2517,14,0,4,18
STINGY,1657,2,0,0,2
GREEDY,2738,18,2,3,23
STINGY,1282,3,0,0,3
GREEDY,2533,18,1,3,22
GREEDY,3517,15,2,4,21
STINGY,1806,1,0,2,3
STINGY,1504,1,0,0,1
STINGY,1853,2,0,1,3
GREEDY,3270,17,2,2,21
STINGY,1564,3,0,0,3
STINGY,379,4,1,1,6
GREEDY,7496,13,2,3,18
GREEDY,10507,14,2,3,19
STINGY,1561,5,0,0,5
GREEDY,8469,14,0,3,17
GREEDY,1780,15,1,3,19
GREEDY,4337,13,1,3,17
GREEDY,2765,15,1,4,20
STINGY,1572,4,0,1,5
GREEDY,3831,19,1,3,23
STINGY,1858,2,0,0,2
STINGY,1243,2,0,1,3
GREEDY,1624,16,2,4,22
GREEDY,3355,16,2,3,21
GREEDY,2315,16,2,3,21
GREEDY,3993,17,2,2,21
GREEDY,3244,18,2,4,24
STINGY,1860,2,0,2,4
GREEDY,3923,15,2,3,20
GREEDY,2481,11,1,3,15
GREEDY,6131,14,2,2,18
STINGY,1021,3,1,1,5
STINGY,2069,0,0,0,0
STINGY,1057,4,0,0,4
STINGY,2026,4,0,1,5
GREEDY,1904,18,2,2,22
STINGY,1588,5,0,1,6
STINGY,1111,3,0,0,3
GREEDY,4105,19,2,4,25
GREEDY,1858,17,1,3,21
GREEDY,5368,17,2,3,22
GREEDY,2569,14,2,2,18
GREEDY,3782,11,2,4,17
STINGY,899,5,0,1,6
GREEDY,1722,15,2,2,19
GREEDY,5076,15,2,4,21
STINGY,1506,3,0,1,4
STINGY,1112,4,1,0,5
GREEDY,5008,17,1,3,21
GREEDY,2797,14,1,3,18
STINGY,1645,3,1,1,5
GREEDY,443,9,2,3,14
STINGY,943,4,0,1,5
STINGY,1826,1,0,1,2
GREEDY,3610,13,2,3,18
GREEDY,4621,14,1,4,19
GREEDY,5757,17,2,3,22
