strategy,money,countries,utilities,stations,totalLandsOwned
STATION_GUY,596,6,0,3,9
UTILITY_GUY,514,5,1,3,9
STATION_GUY,14766,13,0,2,15
STATION_GUY,11620,13,1,4,18
UTILITY_GUY,12665,9,1,1,11
STATION_GUY,816,2,0,3,5
STATION_GUY,21940,8,2,2,12
UTILITY_GUY,35114,15,1,1,17
UTILITY_GUY,21237,15,2,2,19
UTILITY_GUY,11515,10,2,2,14
UTILITY_GUY,8017,13,2,0,15
STATION_GUY,10090,13,0,2,15
STATION_GUY,88792,11,1,3,15
UTILITY_GUY,1352,6,2,2,10
STATION_GUY,17858,12,1,2,15
STATION_GUY,678,7,0,4,11
STATION_GUY,10661,13,1,2,16
STATION_GUY,4511,10,1,4,15
UTILITY_GUY,11047,11,2,1,14
UTILITY_GUY,15578,12,2,1,15
UTILITY_GUY,1473,9,2,3,14
STATION_GUY,10715,12,0,2,14
STATION_GUY,7581,14,0,4,18
STATION_GUY,214,7,0,3,10
UTILITY_GUY,180,9,1,1,11
STATION_GUY,13569,14,1,2,17
UTILITY_GUY,6330,15,1,3,19
STATION_GUY,21817,13,1,2,16
UTILITY_GUY,1971,11,2,3,16
STATION_GUY,506,7,0,3,10
STATION_GUY,1019,5,0,3,8
UTILITY_GUY,9079,13,0,1,14
UTILITY_GUY,10360,12,2,0,14
UTILITY_GUY,29766,7,0,3,10
STATION_GUY,27074,12,0,2,14
STATION_GUY,19658,10,1,2,13
STATION_GUY,1484,6,0,2,8
UTILITY_GUY,26605,13,1,1,15
STATION_GUY,1415,7,0,4,11
STATION_GUY,2884,11,1,4,16
STATION_GUY,8483,14,1,1,16
UTILITY_GUY,666,4,2,0,6
UTILITY_GUY,37172,11,2,0,13
UTILITY_GUY,11269,13,1,1,15
STATION_GUY,965,5,0,3,8
UTILITY_GUY,24012,11,1,1,13
STATION_GUY,4254,10,1,2,13
STATION_GUY,2827,11,1,3,15
STATION_GUY,10303,10,0,4,14
UTILITY_GUY,39841,10,1,1,12
STATION_GUY,8369,11,1,4,16
STATION_GUY,3367,10,1,4,15
UTILITY_GUY,10664,12,2,0,14
UTILITY_GUY,3234,11,2,3,16
UTILITY_GUY,10710,14,1,2,17
STATION_GUY,11953,12,0,2,14
STATION_GUY,12253,12,1,3,16
UTILITY_GUY,918,3,0,1,4
STATION_GUY,13185,7,2,3,12
STATION_GUY,1507,10,0,3,13
UTILITY_GUY,7092,14,2,1,17
STATION_GUY,6165,11,2,3,16
STATION_GUY,2572,8,0,4,12
UTILITY_GUY,6339,12,2,0,14
UTILITY_GUY,1286,8,1,0,9
UTILITY_GUY,79,9,0,0,9
UTILITY_GUY,2109,5,2,1,8
STATION_GUY,58838,13,1,3,17
STATION_GUY,16624,11,2,3,16
STATION_GUY,6370,10,1,3,14
UTILITY_GUY,13875,14,1,3,18
STATION_GUY,24199,11,0,2,13
STATION_GUY,1017,10,1,3,14
STATION_GUY,1817,9,1,4,14
UTILITY_GUY,16351,13,1,2,16
STATION_GUY,4669,9,2,4,15
STATION_GUY,4468,13,0,3,16
STATION_GUY,7255,12,0,3,15
STATION_GUY,23367,14,0,3,17
UTILITY_GUY,732,4,1,0,5
STATION_GUY,4910,12,0,3,15
STATION_GUY,12071,8,1,4,13
STATION_GUY,2128,5,0,3,8
UTILITY_GUY,21967,12,2,2,16
STATION_GUY,1468,7,0,3,10
UTILITY_GUY,22804,12,1,2,15
UTILITY_GUY,37191,12,1,1,14
UTILITY_GUY,19981,14,1,2,17
UTILITY_GUY,998,5,1,0,6
STATION_GUY,990,5,2,3,10
STATION_GUY,1398,4,1,1,6
STATION_GUY,1143,8,0,4,12
UTILITY_GUY,30872,14,1,1,16
STATION_GUY,13261,12,0,2,14
UTILITY_GUY,18540,9,2,1,12
UTILITY_GUY,7701,13,2,3,18
STATION_GUY,8019,12,0,3,15
STATION_GUY,8594,11,1,3,15
UTILITY_GUY,6001,12,1,2,15
UTILITY_GUY,7125,13,1,2,16
STATION_GUY,2851,9,0,4,13
STATION_GUY,37007,13,0,3,16
STATION_GUY,28616,11,0,3,14
UTILITY_GUY,18686,12,1,1,14
STATION_GUY,22024,13,1,4,18
STATION_GUY,26670,13,0,1,14
UTILITY_GUY,18053,7,2,2,11
UTILITY_GUY,1678,8,2,3,13
STATION_GUY,8469,14,1,3,18
UTILITY_GUY,8956,12,1,2,15
STATION_GUY,1624,5,1,3,9
STATION_GUY,29316,11,0,1,12
STATION_GUY,23894,12,0,2,14
STATION_GUY,14830,16,0,4,20
UTILITY_GUY,9933,12,2,3,17
UTILITY_GUY,7199,10,1,2,13
STATION_GUY,3022,11,1,4,16
STATION_GUY,31043,12,0,2,14
STATION_GUY,26982,14,0,2,16
STATION_GUY,2600,10,1,3,14
STATION_GUY,14658,12,0,3,15
STATION_GUY,4179,13,0,4,17
STATION_GUY,7884,14,0,3,17
STATION_GUY,39927,9,0,2,11
UTILITY_GUY,2006,13,2,3,18
UTILITY_GUY,9511,12,2,2,16
STATION_GUY,13547,11,1,3,15
UTILITY_GUY,6711,12,2,1,15
STATION_GUY,785,8,0,3,11
STATION_GUY,2760,9,0,4,13
UTILITY_GUY,11993,13,1,2,16
STATION_GUY,9159,12,2,4,18
STATION_GUY,1832,9,1,2,12
UTILITY_GUY,254,6,1,1,8
UTILITY_GUY,11341,12,1,2,15
STATION_GUY,12908,12,0,2,14
STATION_GUY,2063,9,2,3,14
STATION_GUY,776,6,0,1,7
STATION_GUY,18976,8,0,2,10
UTILITY_GUY,1263,6,2,3,11
UTILITY_GUY,650,7,1,0,8
UTILITY_GUY,7744,14,2,2,18
UTILITY_GUY,6133,11,1,2,14
STATION_GUY,1132,12,0,4,16
STATION_GUY,25759,8,1,3,12
STATION_GUY,20625,12,0,3,15
STATION_GUY,7864,15,0,3,18
STATION_GUY,1648,4,1,4,9
UTILITY_GUY,10124,13,2,1,16
UTILITY_GUY,8554,12,2,1,15
STATION_GUY,18138,13,1,2,16
UTILITY_GUY,14097,11,2,1,14
STATION_GUY,5555,8,0,2,10
STATION_GUY,1110,5,0,4,9
UTILITY_GUY,11780,15,2,2,19
STATION_GUY,18974,11,1,2,14
STATION_GUY,1182,6,0,4,10
UTILITY_GUY,20710,11,1,1,13
STATION_GUY,1990,7,1,4,12
STATION_GUY,27510,13,1,1,15
STATION_GUY,10000,13,1,3,17
UTILITY_GUY,811,4,2,1,7
UTILITY_GUY,34957,14,1,1,16
UTILITY_GUY,19823,12,1,3,16
STATION_GUY,621,7,0,3,10
STATION_GUY,16743,15,1,3,19
UTILITY_GUY,888,7,0,1,8
STATION_GUY,78396,12,0,2,14
STATION_GUY,11198,13,0,3,16
UTILITY_GUY,9919,11,1,2,14
STATION_GUY,15330,14,0,2,16
STATION_GUY,33673,13,0,2,15
STATION_GUY,3574,10,0,4,14
STATION_GUY,30733,12,0,3,15
UTILITY_GUY,15542,12,1,2,15
STATION_GUY,12370,13,2,3,18
UTILITY_GUY,8998,16,0,1,17
STATION_GUY,1146,7,1,3,11
STATION_GUY,29692,14,0,3,17
UTILITY_GUY,8422,11,1,2,14
STATION_GUY,1249,4,0,1,5
STATION_GUY,9752,12,0,2,14
STATION_GUY,6024,11,0,4,15
STATION_GUY,6122,14,1,2,17
UTILITY_GUY,855,7,2,3,12
UTILITY_GUY,17832,12,2,1,15
STATION_GUY,3344,10,0,4,14
UTILITY_GUY,234,5,1,2,8
STATION_GUY,1303,11,0,3,14
UTILITY_GUY,5172,10,1,2,13
STATION_GUY,886,7,1,3,11
STATION_GUY,1279,6,0,4,10
STATION_GUY,5101,12,0,2,14
STATION_GUY,5543,11,1,4,16
UTILITY_GUY,549,8,1,1,10
UTILITY_GUY,22591,12,1,2,15
UTILITY_GUY,2008,7,2,2,11
STATION_GUY,31335,11,1,3,15
UTILITY_GUY,5644,11,2,3,16
STATION_GUY,659,9,1,3,13
STATION_GUY,5984,12,1,4,17
STATION_GUY,9126,16,0,3,19
STATION_GUY,6152,14,0,3,17
STATION_GUY,934,5,0,2,7
UTILITY_GUY,45489,13,1,1,15
STATION_GUY,10854,11,1,4,16
STATION_GUY,4174,13,0,4,17
UTILITY_GUY,1685,7,2,2,11
STATION_GUY,962,5,0,1,6
STATION_GUY,63954,13,1,3,17
STATION_GUY,839,10,1,4,15
STATION_GUY,10365,13,2,3,18
STATION_GUY,1982,6,1,3,10
STATION_GUY,2071,5,1,3,9
UTILITY_GUY,45684,11,1,0,12
UTILITY_GUY,12496,16,0,3,19
STATION_GUY,2261,9,0,4,13
STATION_GUY,11655,13,0,3,16
STATION_GUY,5205,9,1,2,12
UTILITY_GUY,492,5,1,2,8
STATION_GUY,4378,13,1,2,16
UTILITY_GUY,236,7,1,1,9
UTILITY_GUY,1341,8,2,2,12
UTILITY_GUY,11475,11,1,1,13
STATION_GUY,3650,10,1,4,15
STATION_GUY,5844,10,1,2,13
UTILITY_GUY,785,4,1,0,5
STATION_GUY,594,4,1,4,9
STATION_GUY,5810,15,1,2,18
STATION_GUY,21037,14,0,2,16
STATION_GUY,1639,10,2,4,16
STATION_GUY,6223,15,1,2,18
STATION_GUY,2279,11,0,4,15
UTILITY_GUY,5809,10,2,1,13
UTILITY_GUY,1087,2,1,2,5
STATION_GUY,975,7,0,3,10
UTILITY_GUY,1435,6,2,3,11
UTILITY_GUY,12796,9,2,1,12
UTILITY_GUY,12955,12,0,1,13
STATION_GUY,733,3,0,0,3
STATION_GUY,4813,11,0,3,14
STATION_GUY,927,4,2,2,8
UTILITY_GUY,1472,6,0,4,10
UTILITY_GUY,17229,12,1,1,14
STATION_GUY,11938,14,1,3,18
STATION_GUY,13341,12,0,3,15
STATION_GUY,23588,12,1,3,16
STATION_GUY,9484,11,1,4,16
STATION_GUY,39390,11,0,2,13
STATION_GUY,10327,13,1,3,17
UTILITY_GUY,34721,12,1,1,14
STATION_GUY,8037,13,1,2,16
STATION_GUY,443,9,1,4,14
STATION_GUY,4468,11,1,3,15
STATION_GUY,1906,11,1,4,16
UTILITY_GUY,12570,14,1,3,18
STATION_GUY,22705,13,1,3,17
STATION_GUY,1944,10,0,4,14
UTILITY_GUY,14659,12,2,2,16
STATION_GUY,3027,9,1,4,14
STATION_GUY,3198,11,0,3,14
UTILITY_GUY,889,6,2,3,11
STATION_GUY,5322,11,0,4,15
UTILITY_GUY,29207,12,1,1,14
STATION_GUY,1696,10,2,3,15
UTILITY_GUY,36589,12,1,2,15
UTILITY_GUY,711,7,1,4,12
UTILITY_GUY,19544,13,2,1,16
STATION_GUY,3759,6,2,4,12
STATION_GUY,17088,12,2,3,17
STATION_GUY,8167,12,1,3,16
STATION_GUY,3161,12,1,4,17
UTILITY_GUY,5813,11,1,1,13
UTILITY_GUY,13670,15,1,1,17
UTILITY_GUY,12891,11,2,0,13
UTILITY_GUY,278,9,1,2,12
UTILITY_GUY,8810,13,2,0,15
STATION_GUY,1571,5,0,1,6
STATION_GUY,39523,15,0,2,17
UTILITY_GUY,22031,12,1,1,14
STATION_GUY,2432,10,1,4,15
STATION_GUY,10917,12,1,3,16
UTILITY_GUY,29981,12,2,2,16
STATION_GUY,1074,5,1,2,8
STATION_GUY,1382,7,0,4,11
STATION_GUY,9121,16,1,2,19
STATION_GUY,11090,11,1,3,15
UTILITY_GUY,24031,14,2,1,17
UTILITY_GUY,33370,9,2,1,12
STATION_GUY,1630,6,2,3,11
STATION_GUY,13148,11,1,3,15
UTILITY_GUY,8058,12,2,1,15
STATION_GUY,1278,11,0,4,15
UTILITY_GUY,914,4,0,0,4
STATION_GUY,3969,8,1,4,13
STATION_GUY,1173,13,0,3,16
STATION_GUY,4296,8,0,4,12
STATION_GUY,557,7,1,3,11
UTILITY_GUY,25889,12,0,1,13
STATION_GUY,120,5,1,3,9
UTILITY_GUY,37621,11,2,0,13
UTILITY_GUY,1833,14,2,4,20
UTILITY_GUY,11045,16,0,2,18
STATION_GUY,19512,7,0,3,10
UTILITY_GUY,16927,11,0,1,12
UTILITY_GUY,814,7,1,1,9
UTILITY_GUY,1068,2,1,1,4
UTILITY_GUY,156,7,2,0,9
UTILITY_GUY,15154,12,1,2,15
STATION_GUY,1380,3,1,2,6
STATION_GUY,15203,12,1,2,15
STATION_GUY,2608,8,0,4,12
STATION_GUY,22010,14,0,3,17
STATION_GUY,34522,14,1,3,18
STATION_GUY,1119,8,0,4,12
UTILITY_GUY,1230,3,1,0,4
STATION_GUY,540,6,0,3,9
UTILITY_GUY,18596,10,1,1,12
STATION_GUY,1629,8,0,4,12
UTILITY_GUY,11431,12,1,2,15
UTILITY_GUY,29064,11,1,2,14
STATION_GUY,3424,12,1,3,16
UTILITY_GUY,929,5,0,1,6
STATION_GUY,11893,8,0,2,10
UTILITY_GUY,12066,14,1,1,16
STATION_GUY,454,8,0,3,11
STATION_GUY,22648,10,1,2,13
STATION_GUY,500,8,0,3,11
UTILITY_GUY,15818,11,1,1,13
STATION_GUY,9149,13,0,4,17
UTILITY_GUY,9909,12,2,1,15
UTILITY_GUY,4066,10,2,2,14
UTILITY_GUY,14001,8,1,2,11
STATION_GUY,2857,8,2,3,13
UTILITY_GUY,29478,12,2,1,15
STATION_GUY,2469,9,1,4,14
STATION_GUY,3578,12,0,3,15
UTILITY_GUY,11621,12,2,1,15
STATION_GUY,20619,13,1,2,16
STATION_GUY,42812,13,0,1,14
STATION_GUY,1034,11,0,4,15
UTILITY_GUY,16702,15,1,1,17
STATION_GUY,3088,13,0,2,15
UTILITY_GUY,12479,12,1,1,14
STATION_GUY,511,7,1,3,11
STATION_GUY,2614,7,0,4,11
STATION_GUY,862,4,0,3,7
UTILITY_GUY,5821,12,1,1,14
STATION_GUY,1608,10,0,3,13
UTILITY_GUY,1140,7,2,2,11
UTILITY_GUY,936,2,1,1,4
UTILITY_GUY,5381,14,1,3,18
UTILITY_GUY,280,8,0,0,8
UTILITY_GUY,1142,4,0,1,5
STATION_GUY,45641,11,2,3,16
STATION_GUY,1786,8,1,4,13
STATION_GUY,791,4,0,3,7
UTILITY_GUY,29470,15,2,0,17
UTILITY_GUY,34660,13,1,1,15
UTILITY_GUY,5386,8,2,3,13
STATION_GUY,1033,8,0,4,12
STATION_GUY,399,9,2,2,13
UTILITY_GUY,37464,13,1,2,16
UTILITY_GUY,1207,3,2,0,5
STATION_GUY,1688,6,0,4,10
STATION_GUY,778,6,0,4,10
UTILITY_GUY,13749,12,1,0,13
STATION_GUY,8126,8,1,3,12
STATION_GUY,12922,12,0,3,15
UTILITY_GUY,24384,13,1,2,16
STATION_GUY,14190,13,1,2,16
STATION_GUY,311,7,1,2,10
UTILITY_GUY,16914,10,2,1,13
STATION_GUY,683,10,0,3,13
STATION_GUY,3030,8,0,4,12
STATION_GUY,1041,7,0,2,9
STATION_GUY,14608,14,0,3,17
UTILITY_GUY,1068,9,2,2,13
STATION_GUY,544,8,0,4,12
STATION_GUY,758,3,0,2,5
STATION_GUY,1246,3,0,1,4
UTILITY_GUY,25285,15,1,1,17
STATION_GUY,4977,8,1,3,12
STATION_GUY,17395,10,0,3,13
UTILITY_GUY,15948,12,1,1,14
STATION_GUY,9864,9,1,1,11
STATION_GUY,44785,12,0,2,14
STATION_GUY,866,6,0,2,8
STATION_GUY,4555,14,1,2,17
STATION_GUY,26661,12,1,3,16
UTILITY_GUY,1036,2,1,1,4
UTILITY_GUY,20180,11,1,2,14
UTILITY_GUY,89995,13,2,1,16
UTILITY_GUY,470,5,0,1,6
STATION_GUY,11489,13,0,3,16
UTILITY_GUY,30804,11,1,2,14
STATION_GUY,8590,13,1,3,17
STATION_GUY,1237,9,1,3,13
STATION_GUY,1962,9,0,4,13
STATION_GUY,1076,8,0,4,12
STATION_GUY,1536,2,0,4,6
UTILITY_GUY,425,8,1,1,10
UTILITY_GUY,10662,17,2,1,20
UTILITY_GUY,13924,13,2,0,15
STATION_GUY,9115,11,1,3,15
STATION_GUY,1645,6,1,4,11
STATION_GUY,14980,13,1,2,16
STATION_GUY,42918,12,1,2,15
STATION_GUY,68229,11,1,3,15
UTILITY_GUY,8036,12,2,2,16
STATION_GUY,1275,6,1,4,11
STATION_GUY,18411,9,1,3,13
UTILITY_GUY,2911,11,2,1,14
UTILITY_GUY,5014,13,2,1,16
STATION_GUY,17066,12,0,3,15
UTILITY_GUY,15862,13,1,1,15
UTILITY_GUY,29984,12,2,1,15
STATION_GUY,1092,7,0,2,9
UTILITY_GUY,482,8,1,0,9
STATION_GUY,16009,13,1,3,17
STATION_GUY,23443,14,1,1,16
UTILITY_GUY,43379,10,2,1,13
UTILITY_GUY,22433,10,1,2,13
STATION_GUY,35440,12,0,3,15
STATION_GUY,9431,13,2,3,18
STATION_GUY,674,5,1,4,10
STATION_GUY,2730,9,2,1,12
STATION_GUY,1631,7,0,4,11
UTILITY_GUY,1876,10,0,2,12
UTILITY_GUY,60397,12,0,2,14
STATION_GUY,1652,5,1,4,10
UTILITY_GUY,9693,14,1,1,16
UTILITY_GUY,9578,14,1,2,17
STATION_GUY,6960,12,2,2,16
STATION_GUY,17061,13,1,1,15
UTILITY_GUY,584,6,1,2,9
UTILITY_GUY,32225,13,2,1,16
STATION_GUY,21862,10,0,2,12
STATION_GUY,14953,11,2,3,16
STATION_GUY,1684,6,1,4,11
STATION_GUY,7540,11,0,4,15
STATION_GUY,8068,11,0,4,15
STATION_GUY,1096,4,1,4,9
UTILITY_GUY,49335,11,2,1,14
STATION_GUY,3051,12,1,4,17
UTILITY_GUY,7391,14,2,0,16
STATION_GUY,2059,11,1,4,16
STATION_GUY,8367,10,0,4,14
UTILITY_GUY,21364,11,2,1,14
UTILITY_GUY,1272,5,0,0,5
UTILITY_GUY,1395,9,2,3,14
STATION_GUY,4648,13,1,4,18
STATION_GUY,4722,12,1,4,17
STATION_GUY,20893,9,2,3,14
STATION_GUY,1840,7,1,4,12
STATION_GUY,288,9,1,0,10
STATION_GUY,30228,12,1,3,16
STATION_GUY,842,8,0,4,12
STATION_GUY,18555,14,0,3,17
STATION_GUY,4227,9,0,4,13
STATION_GUY,5664,14,1,3,18
STATION_GUY,9780,16,1,4,21
UTILITY_GUY,10352,11,1,2,14
UTILITY_GUY,27112,12,2,2,16
UTILITY_GUY,235,9,0,3,12
STATION_GUY,32991,15,0,1,16
STATION_GUY,29279,11,1,4,16
UTILITY_GUY,1014,4,0,2,6
UTILITY_GUY,9706,12,1,1,14
UTILITY_GUY,86612,11,1,2,14
UTILITY_GUY,15842,12,2,0,14
UTILITY_GUY,20380,12,1,1,14
STATION_GUY,1468,10,1,3,14
UTILITY_GUY,21864,13,1,2,16
STATION_GUY,4093,7,1,4,12
STATION_GUY,22073,10,0,2,12
UTILITY_GUY,6760,10,2,1,13
STATION_GUY,12639,14,0,3,17
STATION_GUY,1301,6,2,3,11
STATION_GUY,5468,12,0,4,16
UTILITY_GUY,630,9,2,2,13
UTILITY_GUY,18556,14,2,2,18
STATION_GUY,6600,13,1,3,17
STATION_GUY,604,9,0,2,11
UTILITY_GUY,790,9,1,1,11
STATION_GUY,3852,8,0,4,12
STATION_GUY,10807,13,0,3,16
STATION_GUY,10185,10,1,4,15
STATION_GUY,12106,11,1,3,15
STATION_GUY,8023,9,0,3,12
STATION_GUY,9099,15,0,2,17
STATION_GUY,30168,14,0,3,17
STATION_GUY,2333,12,0,4,16
UTILITY_GUY,31510,15,2,0,17
UTILITY_GUY,60347,10,1,0,11
UTILITY_GUY,12466,14,1,0,15
STATION_GUY,691,5,0,1,6
STATION_GUY,1093,6,0,3,9
UTILITY_GUY,17380,17,0,2,19
UTILITY_GUY,21356,14,0,1,15
STATION_GUY,764,4,2,4,10
UTILITY_GUY,13446,14,1,2,17
UTILITY_GUY,68350,13,2,1,16
STATION_GUY,16563,13,1,3,17
STATION_GUY,3953,10,1,4,15
STATION_GUY,11980,13,0,3,16
STATION_GUY,21228,14,0,4,18
UTILITY_GUY,4050,11,0,2,13
STATION_GUY,35339,11,1,3,15
STATION_GUY,38330,14,1,2,17
STATION_GUY,4265,10,0,4,14
STATION_GUY,8688,12,1,3,16
STATION_GUY,4047,8,0,3,11
STATION_GUY,1091,8,0,4,12
UTILITY_GUY,30871,13,1,1,15
STATION_GUY,7716,10,1,3,14
STATION_GUY,12287,12,0,3,15
STATION_GUY,27211,15,0,2,17
STATION_GUY,3288,11,2,3,16
UTILITY_GUY,16837,12,1,2,15
STATION_GUY,7289,9,0,3,12
STATION_GUY,27782,13,1,3,17
STATION_GUY,7334,15,1,3,19
STATION_GUY,13533,14,0,1,15
UTILITY_GUY,480,7,0,3,10
UTILITY_GUY,28994,12,1,2,15
UTILITY_GUY,2000,5,1,1,7
UTILITY_GUY,35788,10,2,1,13
UTILITY_GUY,16350,15,2,2,19
UTILITY_GUY,853,6,2,0,8
STATION_GUY,1162,7,1,4,12
STATION_GUY,9935,13,1,4,18
UTILITY_GUY,23621,11,1,2,14
UTILITY_GUY,28965,13,2,1,16
UTILITY_GUY,9450,14,1,1,16
UTILITY_GUY,26538,10,1,1,12
STATION_GUY,592,9,1,0,10
UTILITY_GUY,8586,11,2,3,16
UTILITY_GUY,34208,12,1,0,13
UTILITY_GUY,2891,6,2,3,11
STATION_GUY,855,7,0,4,11
UTILITY_GUY,9206,12,1,1,14
STATION_GUY,9923,12,1,3,16
STATION_GUY,3840,13,0,4,17
UTILITY_GUY,1182,7,0,1,8
UTILITY_GUY,53312,13,1,1,15
STATION_GUY,10069,14,0,3,17
STATION_GUY,34643,14,0,3,17
STATION_GUY,10347,10,1,3,14
STATION_GUY,8641,12,2,2,16
STATION_GUY,8136,11,1,3,15
UTILITY_GUY,8432,12,2,1,15
STATION_GUY,21351,14,1,2,17
STATION_GUY,3649,11,1,4,16
UTILITY_GUY,10035,11,2,3,16
STATION_GUY,14957,12,1,3,16
STATION_GUY,18334,13,0,4,17
UTILITY_GUY,4678,10,2,3,15
STATION_GUY,27843,13,0,1,14
STATION_GUY,19179,11,0,3,14
UTILITY_GUY,1016,7,2,2,11
STATION_GUY,944,2,1,3,6
UTILITY_GUY,56635,12,1,1,14
UTILITY_GUY,19213,16,2,1,19
UTILITY_GUY,562,7,0,0,7
UTILITY_GUY,737,8,2,1,11
STATION_GUY,8631,13,0,2,15
STATION_GUY,42248,12,0,3,15
STATION_GUY,12998,11,1,3,15
UTILITY_GUY,8037,15,1,2,18
STATION_GUY,1228,3,0,3,6
STATION_GUY,9583,11,1,3,15
UTILITY_GUY,4988,15,1,0,16
STATION_GUY,1887,11,1,4,16
UTILITY_GUY,13621,15,1,0,16
UTILITY_GUY,1163,5,1,2,8
STATION_GUY,3710,13,1,4,18
UTILITY_GUY,342,12,1,2,15
STATION_GUY,29492,14,1,2,17
UTILITY_GUY,27173,13,2,1,16
UTILITY_GUY,16250,11,1,2,14
STATION_GUY,6412,14,0,2,16
UTILITY_GUY,1690,3,2,2,7
STATION_GUY,16984,11,1,2,14
STATION_GUY,1342,7,0,4,11
UTILITY_GUY,27826,11,1,1,13
STATION_GUY,33683,10,1,2,13
STATION_GUY,20330,13,1,3,17
STATION_GUY,647,6,1,3,10
STATION_GUY,13947,13,0,1,14
UTILITY_GUY,5702,14,2,0,16
UTILITY_GUY,437,8,2,2,12
STATION_GUY,13472,14,1,2,17
UTILITY_GUY,403,8,2,2,12
STATION_GUY,15931,16,0,3,19
STATION_GUY,20207,13,0,3,16
STATION_GUY,1575,8,0,3,11
STATION_GUY,2196,11,0,2,13
UTILITY_GUY,692,11,1,3,15
UTILITY_GUY,15499,10,1,1,12
UTILITY_GUY,15237,10,1,1,12
STATION_GUY,7277,14,0,4,18
STATION_GUY,943,8,0,2,10
UTILITY_GUY,1129,2,2,2,6
STATION_GUY,3659,12,0,4,16
STATION_GUY,24138,14,0,3,17
UTILITY_GUY,9454,11,2,2,15
UTILITY_GUY,1800,0,1,4,5
STATION_GUY,8764,15,1,2,18
UTILITY_GUY,2060,14,2,3,19
UTILITY_GUY,9311,11,2,1,14
STATION_GUY,1281,9,1,4,14
