strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,29529,8,2,0,10
DEFAULT,60077,5,0,2,7
UTILITY_GUY,56441,9,0,1,10
UTILITY_GUY,29768,7,1,1,9
UTILITY_GUY,56438,8,1,0,9
STATION_GUY,39801,5,0,0,5
STATION_GUY,9601,4,0,0,4
GREEDY,23182,12,1,2,15
GREEDY,16038,8,1,1,10
GREEDY,16651,7,1,1,9
STATION_GUY,26739,7,0,1,8
GREEDY,16332,11,0,1,12
GREEDY,27660,6,1,2,9
UTILITY_GUY,47885,2,0,1,3
GREEDY,18905,7,0,3,10
GREEDY,19251,6,0,0,6
DEFAULT,69262,8,0,0,8
STATION_GUY,94701,5,0,2,7
UTILITY_GUY,69320,6,0,0,6
DEFAULT,47013,8,0,0,8
GREEDY,60297,8,2,2,12
GREEDY,40444,9,0,2,11
GREEDY,12139,8,0,2,10
GREEDY,12243,6,1,0,7
GREEDY,21113,8,1,1,10
GREEDY,33268,7,0,0,7
UTILITY_GUY,41323,5,1,0,6
GREEDY,20086,10,0,2,12
GREEDY,37730,10,1,1,12
GREEDY,22297,9,0,1,10
GREEDY,20373,10,0,1,11
GREEDY,16548,8,1,0,9
GREEDY,76138,10,0,1,11
GREEDY,26401,9,0,1,10
GREEDY,45780,8,1,2,11
GREEDY,57822,10,1,0,11
GREEDY,16842,11,1,1,13
GREEDY,32735,11,1,0,12
GREEDY,59505,7,0,2,9
GREEDY,23061,11,0,1,12
GREEDY,9884,5,1,3,9
GREEDY,30108,5,0,0,5
UTILITY_GUY,34742,6,1,1,8
GREEDY,19545,12,0,1,13
GREEDY,15714,8,0,4,12
GREEDY,10483,9,0,1,10
GREEDY,10722,6,0,1,7
GREEDY,11697,9,0,2,11
GREEDY,20884,5,1,1,7
DEFAULT,38924,5,0,2,7
UTILITY_GUY,44230,9,1,0,10
GREEDY,14503,8,0,2,10
GREEDY,22397,11,0,1,12
GREEDY,17706,8,1,1,10
GREEDY,32194,8,0,0,8
UTILITY_GUY,61547,5,0,1,6
GREEDY,25604,8,1,1,10
GREEDY,23128,8,0,0,8
GREEDY,22947,7,0,2,9
DEFAULT,51161,7,0,2,9
DEFAULT,44947,4,0,2,6
GREEDY,43113,9,2,1,12
STATION_GUY,69336,7,0,1,8
GREEDY,39241,8,0,0,8
GREEDY,75170,11,1,2,14
GREEDY,24428,7,0,1,8
GREEDY,18609,11,1,2,14
GREEDY,24721,7,1,0,8
DEFAULT,46320,7,0,0,7
GREEDY,10395,7,0,1,8
STATION_GUY,78602,6,0,1,7
UTILITY_GUY,60233,5,0,1,6
DEFAULT,26423,8,1,0,9
STATION_GUY,22756,4,1,1,6
STATION_GUY,67233,8,1,0,9
UTILITY_GUY,39979,4,1,2,7
GREEDY,22456,7,0,1,8
STATION_GUY,52552,8,0,2,10
GREEDY,18133,12,0,1,13
GREEDY,22745,8,1,2,11
UTILITY_GUY,29733,5,0,1,6
GREEDY,15290,8,1,0,9
DEFAULT,29093,8,1,0,9
GREEDY,20553,10,0,1,11
GREEDY,29097,7,0,0,7
GREEDY,27312,10,1,1,12
GREEDY,12185,6,1,2,9
GREEDY,28715,7,0,0,7
DEFAULT,28945,9,0,1,10
GREEDY,16583,8,2,1,11
GREEDY,9444,10,0,1,11
DEFAULT,21736,6,1,0,7
STATION_GUY,65353,8,1,0,9
DEFAULT,39957,5,0,1,6
UTILITY_GUY,47018,6,0,1,7
GREEDY,31997,8,0,1,9
GREEDY,27070,8,0,0,8
STATION_GUY,57459,10,0,0,10
GREEDY,16788,8,1,3,12
STATION_GUY,53322,6,0,1,7
GREEDY,23095,9,2,0,11
GREEDY,45213,8,1,2,11
DEFAULT,37009,7,0,1,8
GREEDY,19127,10,1,1,12
DEFAULT,50229,8,0,1,9
STATION_GUY,85539,7,0,2,9
GREEDY,67941,8,1,2,11
GREEDY,23335,9,1,1,11
GREEDY,24960,8,1,1,10
STATION_GUY,72020,9,1,1,11
GREEDY,25528,11,1,1,13
DEFAULT,25522,5,0,0,5
GREEDY,23197,12,1,1,14
DEFAULT,75226,7,0,0,7
GREEDY,44675,7,1,0,8
GREEDY,20477,9,0,0,9
GREEDY,20074,12,0,1,13
GREEDY,15222,5,1,2,8
GREEDY,31325,7,1,2,10
GREEDY,19988,9,0,0,9
GREEDY,36219,8,0,1,9
GREEDY,18173,9,0,1,10
GREEDY,13872,9,0,0,9
GREEDY,20313,9,0,0,9
GREEDY,31482,9,1,1,11
DEFAULT,50817,7,1,0,8
GREEDY,14351,11,0,2,13
DEFAULT,54868,5,0,2,7
GREEDY,19379,7,1,1,9
GREEDY,22654,9,0,1,10
STATION_GUY,53357,3,0,1,4
GREEDY,39672,9,0,2,11
GREEDY,19966,4,1,2,7
GREEDY,28514,13,0,0,13
DEFAULT,23433,7,0,0,7
GREEDY,15877,9,1,0,10
GREEDY,20835,9,0,2,11
GREEDY,21650,10,0,0,10
GREEDY,23944,5,1,1,7
GREEDY,57700,11,0,1,12
GREEDY,19899,10,0,0,10
STATION_GUY,30834,8,1,1,10
UTILITY_GUY,42099,6,0,0,6
STATION_GUY,64621,5,0,2,7
UTILITY_GUY,80236,8,1,0,9
UTILITY_GUY,35045,5,2,1,8
DEFAULT,36637,5,0,0,5
GREEDY,20176,8,2,2,12
GREEDY,25816,10,0,1,11
DEFAULT,25384,5,1,0,6
DEFAULT,40050,6,0,1,7
STATION_GUY,26124,4,0,2,6
DEFAULT,20719,7,0,0,7
GREEDY,14017,4,1,0,5
GREEDY,33982,8,1,0,9
GREEDY,23521,11,0,0,11
STATION_GUY,37793,5,0,2,7
GREEDY,91637,8,1,0,9
STATION_GUY,48874,5,0,1,6
UTILITY_GUY,58551,5,1,0,6
GREEDY,47029,10,0,2,12
STATION_GUY,30156,4,0,4,8
GREEDY,17357,7,0,1,8
GREEDY,18703,10,0,1,11
STATION_GUY,60275,7,0,1,8
GREEDY,19727,9,1,1,11
GREEDY,35423,9,1,0,10
DEFAULT,54550,6,0,0,6
GREEDY,40332,9,0,2,11
DEFAULT,20325,7,1,0,8
STATION_GUY,17581,6,0,3,9
GREEDY,18118,5,0,2,7
GREEDY,66367,8,0,2,10
UTILITY_GUY,59801,5,1,0,6
STATION_GUY,50653,2,1,4,7
GREEDY,32318,8,0,1,9
DEFAULT,38469,5,0,0,5
GREEDY,29073,11,2,1,14
DEFAULT,31288,8,1,1,10
STATION_GUY,37399,6,1,1,8
DEFAULT,37421,6,0,1,7
GREEDY,22505,6,1,1,8
GREEDY,15315,6,0,1,7
STATION_GUY,41684,6,1,2,9
GREEDY,16283,8,1,2,11
GREEDY,19437,10,0,2,12
GREEDY,18466,11,2,1,14
DEFAULT,45977,6,0,0,6
GREEDY,24774,9,1,0,10
DEFAULT,60836,5,1,0,6
UTILITY_GUY,40901,6,1,0,7
DEFAULT,31472,7,2,0,9
GREEDY,19442,10,2,1,13
GREEDY,16040,9,1,1,11
GREEDY,24969,9,1,1,11
STATION_GUY,53871,7,1,0,8
STATION_GUY,30548,7,0,3,10
UTILITY_GUY,58218,3,0,2,5
DEFAULT,60568,4,1,0,5
DEFAULT,58618,5,1,1,7
GREEDY,18364,9,1,1,11
GREEDY,23475,11,0,2,13
GREEDY,23274,7,0,0,7
DEFAULT,46991,6,0,1,7
UTILITY_GUY,13479,7,1,0,8
GREEDY,21838,8,0,2,10
GREEDY,29167,9,0,2,11
DEFAULT,74292,7,1,2,10
GREEDY,12230,8,0,1,9
STATION_GUY,66266,4,0,0,4
UTILITY_GUY,40432,8,1,1,10
GREEDY,26536,6,1,1,8
GREEDY,27209,8,0,1,9
UTILITY_GUY,41425,7,0,0,7
GREEDY,40162,11,0,1,12
GREEDY,14667,8,0,2,10
GREEDY,17231,11,0,3,14
UTILITY_GUY,44253,2,1,2,5
GREEDY,15311,7,2,1,10
UTILITY_GUY,25658,5,0,1,6
GREEDY,11448,11,0,0,11
DEFAULT,48614,6,1,1,8
GREEDY,36482,9,1,2,12
GREEDY,23091,6,2,1,9
UTILITY_GUY,39943,3,0,0,3
STINGY,69809,3,0,0,3
DEFAULT,57930,5,0,1,6
GREEDY,50180,6,0,2,8
GREEDY,21904,5,1,1,7
UTILITY_GUY,93855,7,1,0,8
DEFAULT,14477,6,0,0,6
GREEDY,20398,6,1,2,9
GREEDY,18635,10,1,2,13
DEFAULT,34638,6,0,0,6
GREEDY,31678,7,0,2,9
GREEDY,39802,10,1,1,12
GREEDY,53789,9,0,1,10
GREEDY,44484,8,0,0,8
STATION_GUY,47143,5,0,3,8
GREEDY,89398,11,0,0,11
GREEDY,24964,11,0,1,12
GREEDY,46834,9,0,3,12
DEFAULT,47135,5,0,1,6
DEFAULT,51400,9,0,0,9
GREEDY,15908,7,0,0,7
GREEDY,20109,7,1,2,10
GREEDY,20928,10,0,0,10
STATION_GUY,64185,5,0,0,5
UTILITY_GUY,61965,5,0,1,6
GREEDY,23765,7,2,0,9
STATION_GUY,14994,6,0,1,7
GREEDY,23865,9,0,1,10
GREEDY,29391,8,1,1,10
GREEDY,24904,7,1,1,9
GREEDY,32643,6,1,1,8
STATION_GUY,66937,7,2,2,11
GREEDY,10529,13,1,0,14
GREEDY,31988,9,0,0,9
UTILITY_GUY,93160,7,2,1,10
UTILITY_GUY,49535,7,2,0,9
DEFAULT,30298,8,2,0,10
GREEDY,25656,10,1,1,12
