strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,838,8,1,3,12
DEFAULT,12511,11,1,2,14
,,,,
,,,,
DEFAULT,7900,13,1,3,17
DEFAULT,27899,12,2,3,17
DEFAULT,8113,12,0,2,14
DEFAULT,11068,11,1,3,15
DEFAULT,8551,14,2,2,18
DEFAULT,22093,12,1,2,15
DEFAULT,6563,15,2,1,18
DEFAULT,981,8,0,3,11
DEFAULT,6860,13,2,1,16
DEFAULT,13664,13,2,3,18
DEFAULT,865,6,1,1,8
DEFAULT,12879,13,1,3,17
DEFAULT,13976,11,1,3,15
DEFAULT,1009,4,1,1,6
DEFAULT,782,3,0,2,5
DEFAULT,7422,13,1,2,16
DEFAULT,11968,11,2,1,14
DEFAULT,9888,11,1,3,15
DEFAULT,699,7,0,0,7
,,,,
DEFAULT,81,12,1,0,13
DEFAULT,2002,10,1,3,14
DEFAULT,2407,12,1,2,15
DEFAULT,16785,14,1,2,17
DEFAULT,9050,14,2,2,18
DEFAULT,11847,11,1,3,15
DEFAULT,18134,16,1,0,17
DEFAULT,2694,12,1,4,17
DEFAULT,2909,12,1,3,16
DEFAULT,16150,13,1,1,15
DEFAULT,15794,11,2,2,15
DEFAULT,7000,11,1,2,14
DEFAULT,885,5,0,0,5
DEFAULT,5649,10,0,3,13
DEFAULT,457,7,0,1,8
DEFAULT,15246,14,0,1,15
DEFAULT,12877,12,1,2,15
DEFAULT,22725,12,1,2,15
DEFAULT,341,5,1,2,8
DEFAULT,5820,14,0,2,16
DEFAULT,3859,11,1,2,14
,,,,
DEFAULT,2114,6,1,3,10
,,,,
,,,,
DEFAULT,6001,15,1,1,17
DEFAULT,2066,12,1,4,17
DEFAULT,20186,11,0,2,13
DEFAULT,11601,10,1,2,13
,,,,
DEFAULT,8354,13,1,2,16
DEFAULT,38772,13,1,1,15
DEFAULT,17346,9,1,0,10
DEFAULT,5240,12,2,2,16
DEFAULT,22569,12,0,2,14
,,,,
DEFAULT,54367,14,2,2,18
DEFAULT,12339,15,0,1,16
DEFAULT,12542,11,2,1,14
DEFAULT,7050,12,1,2,15
,,,,
DEFAULT,411,4,0,0,4
DEFAULT,9828,10,1,2,13
DEFAULT,15830,11,0,1,12
DEFAULT,1415,2,0,1,3
,,,,
DEFAULT,15123,10,1,2,13
DEFAULT,939,7,1,1,9
,,,,
DEFAULT,9430,12,1,1,14
DEFAULT,6144,10,1,1,12
DEFAULT,20540,11,2,1,14
DEFAULT,5789,9,2,4,15
DEFAULT,1580,5,2,4,11
DEFAULT,806,7,2,1,10
DEFAULT,50428,13,1,1,15
DEFAULT,656,8,2,0,10
DEFAULT,7219,12,1,2,15
DEFAULT,916,10,2,4,16
DEFAULT,79973,12,1,2,15
DEFAULT,794,5,1,2,8
,,,,
,,,,
DEFAULT,6997,9,1,3,13
DEFAULT,964,10,1,1,12
DEFAULT,22572,10,2,3,15
DEFAULT,9831,14,2,3,19
DEFAULT,301,4,1,2,7
DEFAULT,10789,9,0,0,9
DEFAULT,59280,10,1,2,13
DEFAULT,2940,10,2,4,16
DEFAULT,1635,10,1,1,12
DEFAULT,13364,12,1,2,15
,,,,
DEFAULT,24159,13,1,1,15
DEFAULT,230,12,0,1,13
DEFAULT,24161,15,1,1,17
DEFAULT,8944,11,2,3,16
DEFAULT,4061,12,1,4,17
DEFAULT,5470,9,0,2,11
DEFAULT,1922,10,1,2,13
DEFAULT,20760,13,2,1,16
DEFAULT,73622,11,1,3,15
DEFAULT,17139,14,2,2,18
DEFAULT,7314,11,2,2,15
,,,,
DEFAULT,41447,14,2,2,18
DEFAULT,8570,13,1,2,16
,,,,
DEFAULT,1976,6,1,4,11
DEFAULT,574,7,2,1,10
DEFAULT,27465,11,1,2,14
DEFAULT,679,9,0,3,12
DEFAULT,915,8,0,0,8
DEFAULT,51440,11,0,3,14
DEFAULT,35310,12,0,2,14
DEFAULT,8518,13,1,2,16
DEFAULT,9384,15,1,3,19
DEFAULT,9499,12,1,1,14
DEFAULT,1472,3,1,0,4
DEFAULT,39166,13,0,3,16
DEFAULT,666,8,1,4,13
DEFAULT,1637,8,2,2,12
DEFAULT,701,9,0,1,10
DEFAULT,848,9,2,3,14
DEFAULT,88026,12,1,2,15
,,,,
DEFAULT,11873,12,1,2,15
DEFAULT,590,6,0,2,8
DEFAULT,717,5,1,0,6
DEFAULT,732,12,1,3,16
DEFAULT,14262,12,1,2,15
DEFAULT,699,5,0,1,6
DEFAULT,959,10,2,1,13
DEFAULT,9884,13,1,2,16
DEFAULT,44730,13,1,1,15
DEFAULT,12286,13,1,4,18
,,,,
DEFAULT,8588,10,2,2,14
DEFAULT,618,7,1,1,9
DEFAULT,18231,14,0,2,16
DEFAULT,6266,13,2,4,19
DEFAULT,915,10,0,2,12
DEFAULT,4975,12,1,4,17
DEFAULT,713,7,1,2,10
,,,,
DEFAULT,17147,13,1,1,15
DEFAULT,20350,11,1,1,13
DEFAULT,4089,10,1,4,15
DEFAULT,285,4,2,1,7
,,,,
DEFAULT,11437,13,0,2,15
DEFAULT,4523,12,1,1,14
DEFAULT,30257,13,1,1,15
DEFAULT,18386,12,2,3,17
DEFAULT,1552,8,0,3,11
DEFAULT,842,5,1,0,6
DEFAULT,26721,9,1,2,12
DEFAULT,20896,12,0,3,15
DEFAULT,6681,13,2,0,15
DEFAULT,406,4,0,2,6
DEFAULT,667,8,1,2,11
DEFAULT,25329,11,1,3,15
,,,,
,,,,
DEFAULT,25043,11,1,2,14
DEFAULT,30641,11,0,2,13
,,,,
DEFAULT,798,6,2,3,11
DEFAULT,18434,10,1,4,15
DEFAULT,1464,5,1,4,10
DEFAULT,3496,10,1,3,14
DEFAULT,858,6,1,2,9
DEFAULT,365,7,1,2,10
DEFAULT,13870,12,2,3,17
DEFAULT,8520,15,1,2,18
DEFAULT,7685,14,0,2,16
DEFAULT,590,12,0,1,13
DEFAULT,946,9,0,1,10
DEFAULT,4717,14,1,3,18
,,,,
DEFAULT,574,6,0,2,8
DEFAULT,851,6,1,2,9
DEFAULT,7735,14,1,4,19
DEFAULT,173,7,0,1,8
DEFAULT,10334,12,2,2,16
,,,,
,,,,
DEFAULT,823,7,1,1,9
DEFAULT,718,5,1,1,7
DEFAULT,980,2,0,2,4
,,,,
DEFAULT,14369,11,1,1,13
DEFAULT,12623,11,0,3,14
DEFAULT,1937,7,1,1,9
DEFAULT,5278,10,1,3,14
DEFAULT,21504,11,1,1,13
DEFAULT,728,4,1,2,7
DEFAULT,970,10,2,1,13
DEFAULT,6970,12,1,4,17
DEFAULT,13821,10,1,4,15
DEFAULT,16126,10,1,2,13
DEFAULT,12037,11,1,3,15
DEFAULT,1293,2,0,1,3
DEFAULT,18252,12,1,2,15
DEFAULT,9699,12,1,3,16
DEFAULT,32669,13,0,2,15
DEFAULT,19165,15,2,2,19
DEFAULT,48582,11,0,2,13
DEFAULT,1239,8,0,3,11
DEFAULT,881,7,1,4,12
DEFAULT,29377,10,2,2,14
DEFAULT,808,8,2,2,12
DEFAULT,20327,10,1,2,13
DEFAULT,10991,10,1,2,13
DEFAULT,1458,9,1,4,14
DEFAULT,625,13,0,2,15
DEFAULT,10256,11,0,2,13
DEFAULT,73050,14,2,1,17
DEFAULT,1536,2,1,0,3
DEFAULT,906,7,1,2,10
DEFAULT,1053,5,1,1,7
DEFAULT,338,9,0,1,10
DEFAULT,2558,11,0,4,15
DEFAULT,64214,10,1,4,15
DEFAULT,7374,11,1,2,14
DEFAULT,9431,13,1,2,16
DEFAULT,568,11,0,1,12
DEFAULT,168,7,1,2,10
DEFAULT,728,3,0,1,4
DEFAULT,20344,15,2,1,18
DEFAULT,17061,13,1,3,17
DEFAULT,1018,5,0,3,8
,,,,
DEFAULT,844,8,1,2,11
DEFAULT,943,8,2,4,14
DEFAULT,17836,14,1,1,16
DEFAULT,3429,13,1,4,18
,,,,
DEFAULT,7030,11,1,1,13
DEFAULT,230,10,1,2,13
DEFAULT,16426,12,0,1,13
DEFAULT,3788,12,1,4,17
DEFAULT,10534,10,0,3,13
DEFAULT,550,8,1,0,9
,,,,
DEFAULT,222,7,1,1,9
DEFAULT,510,6,1,3,10
DEFAULT,10934,13,1,3,17
DEFAULT,13148,13,1,1,15
DEFAULT,14532,9,1,2,12
DEFAULT,2290,11,2,4,17
,,,,
DEFAULT,23573,9,0,2,11
DEFAULT,7221,11,0,2,13
DEFAULT,16534,14,2,2,18
DEFAULT,962,5,0,2,7
DEFAULT,32454,10,1,3,14
DEFAULT,2977,13,0,4,17
DEFAULT,552,5,0,1,6
DEFAULT,15782,15,0,1,16
DEFAULT,42903,12,0,2,14
,,,,
DEFAULT,32885,13,1,0,14
DEFAULT,16780,10,2,2,14
DEFAULT,575,9,0,2,11
DEFAULT,1126,3,0,1,4
,,,,
,,,,
DEFAULT,95249,12,2,1,15
DEFAULT,1383,9,1,3,13
