strategy,money,countries,utilities,stations,totalLandsOwned
STINGY,1239,4,0,3,7
STINGY,1470,1,0,2,3
STINGY,2600,1,0,0,1
STINGY,1173,3,1,0,4
GREEDY,3574,20,2,2,24
GREEDY,5987,14,2,2,18
GREEDY,6952,17,2,4,23
STINGY,1856,3,0,2,5
GREEDY,5373,16,2,4,22
GREEDY,3936,14,2,3,19
GREEDY,5275,19,2,3,24
GREEDY,3692,18,1,4,23
STINGY,1735,0,0,0,0
GREEDY,1852,16,1,3,20
STINGY,1160,2,1,1,4
GREEDY,2189,13,2,4,19
,,,,
STINGY,1070,3,1,0,4
GREEDY,3636,16,2,4,22
STINGY,1601,2,1,0,3
STINGY,2399,4,1,1,6
STINGY,1087,3,1,1,5
GREEDY,2610,15,1,3,19
STINGY,1884,2,1,0,3
GREEDY,1160,18,1,2,21
GREEDY,8493,17,1,2,20
GREEDY,11228,15,1,3,19
GREEDY,1664,13,2,2,17
STINGY,905,6,0,2,8
STINGY,926,4,0,1,5
GREEDY,4772,15,2,3,20
STINGY,2131,3,0,1,4
STINGY,1380,2,0,1,3
GREEDY,3822,14,1,3,18
STINGY,1295,6,1,1,8
STINGY,1381,3,1,2,6
STINGY,1410,1,1,0,2
GREEDY,3549,15,2,3,20
STINGY,2187,4,2,0,6
STINGY,1210,1,0,0,1
GREEDY,1475,17,1,3,21
GREEDY,11452,14,2,2,18
GREEDY,17284,14,2,3,19
GREEDY,3337,16,2,4,22
GREEDY,3520,17,2,3,22
GREEDY,5963,18,2,3,23
GREEDY,3599,18,2,3,23
STINGY,1328,5,0,0,5
GREEDY,6576,15,2,2,19
STINGY,543,5,1,2,8
GREEDY,3470,18,2,2,22
GREEDY,2763,18,1,2,21
GREEDY,1724,13,1,4,18
GREEDY,2053,18,2,1,21
STINGY,1877,2,0,0,2
GREEDY,3075,16,2,2,20
STINGY,1516,1,0,0,1
STINGY,1744,1,0,1,2
GREEDY,6788,15,2,3,20
STINGY,712,4,0,2,6
GREEDY,7287,16,2,4,22
STINGY,1837,2,2,1,5
GREEDY,7563,13,1,4,18
GREEDY,4027,15,2,3,20
GREEDY,5822,15,2,3,20
GREEDY,5661,16,2,3,21
GREEDY,4730,16,2,2,20
GREEDY,3356,13,2,4,19
GREEDY,4710,16,2,3,21
GREEDY,4133,19,2,2,23
STINGY,1842,4,0,1,5
STINGY,1491,2,1,1,4
STINGY,1616,1,0,0,1
GREEDY,4865,17,2,2,21
STINGY,1262,1,2,0,3
,,,,
GREEDY,2956,16,2,3,21
GREEDY,6598,17,2,3,22
GREEDY,1564,17,0,3,20
STINGY,1293,5,0,1,6
GREEDY,2249,17,2,4,23
GREEDY,3157,17,1,2,20
GREEDY,2248,15,2,3,20
STINGY,1190,1,0,0,1
GREEDY,6206,16,1,3,20
STINGY,1597,3,0,1,4
GREEDY,6138,13,2,4,19
GREEDY,6243,16,2,2,20
STINGY,1617,3,0,0,3
GREEDY,2539,17,2,3,22
STINGY,1040,3,0,2,5
GREEDY,2946,15,1,3,19
STINGY,378,5,1,0,6
STINGY,968,3,0,1,4
,,,,
GREEDY,2565,18,2,2,22
STINGY,1228,2,0,0,2
GREEDY,928,6,2,4,12
STINGY,1306,5,0,1,6
STINGY,1240,6,0,1,7
