strategy,money,countries,utilities,stations,totalLandsOwned
STATION_GUY,1905,6,0,4,10
STATION_GUY,11980,11,1,2,14
STATION_GUY,498,5,0,2,7
STATION_GUY,14874,13,1,4,18
STATION_GUY,804,4,1,2,7
UTILITY_GUY,18598,14,2,2,18
STATION_GUY,1474,7,1,4,12
STATION_GUY,21337,14,0,2,16
STATION_GUY,891,4,0,4,8
UTILITY_GUY,788,5,1,1,7
STATION_GUY,10226,13,0,2,15
STATION_GUY,17038,12,1,3,16
STATION_GUY,28128,14,1,2,17
STATION_GUY,10024,11,1,3,15
STATION_GUY,404,5,0,3,8
UTILITY_GUY,11369,13,2,0,15
STATION_GUY,100125,11,1,3,15
UTILITY_GUY,14913,13,1,1,15
UTILITY_GUY,14503,11,0,2,13
STATION_GUY,100032,11,0,3,14
UTILITY_GUY,100012,10,2,3,15
UTILITY_GUY,10040,12,1,1,14
STATION_GUY,16058,15,1,1,17
STATION_GUY,2269,14,1,2,17
STATION_GUY,5729,11,0,4,15
STATION_GUY,100197,11,0,3,14
STATION_GUY,2085,10,0,4,14
UTILITY_GUY,3402,10,1,0,11
STATION_GUY,17409,10,1,2,13
UTILITY_GUY,14392,11,1,2,14
STATION_GUY,100121,9,2,3,14
UTILITY_GUY,21769,12,1,2,15
UTILITY_GUY,1536,3,2,0,5
UTILITY_GUY,13802,13,2,1,16
UTILITY_GUY,26105,15,1,2,18
UTILITY_GUY,20677,10,1,1,12
STATION_GUY,9436,9,1,3,13
STATION_GUY,15387,11,0,3,14
STATION_GUY,1929,9,0,4,13
STATION_GUY,26697,10,1,3,14
STATION_GUY,100153,11,1,3,15
UTILITY_GUY,25729,14,2,2,18
STATION_GUY,1797,11,0,1,12
UTILITY_GUY,100056,12,0,2,14
STATION_GUY,9203,14,1,2,17
UTILITY_GUY,1008,5,1,2,8
STATION_GUY,100064,11,2,3,16
UTILITY_GUY,10244,13,2,2,17
STATION_GUY,100034,12,1,3,16
STATION_GUY,1898,10,1,4,15
STATION_GUY,29169,11,1,2,14
UTILITY_GUY,24312,15,2,0,17
UTILITY_GUY,4136,16,2,2,20
STATION_GUY,23107,14,0,3,17
STATION_GUY,1784,13,0,4,17
STATION_GUY,7770,10,0,2,12
UTILITY_GUY,576,6,2,1,9
STATION_GUY,8557,10,1,3,14
STATION_GUY,2334,7,2,4,13
UTILITY_GUY,26284,12,2,2,16
